	GSM1233280	GSM1233282	GSM1233283	GSM1233284	GSM1233286	GSM1233287	GSM1233288	GSM1233289	GSM1233290	GSM1233291
100287102	140	102	31	80	56	42	94	51	73	96
653635	369	472	120	397	235	236	379	131	265	257
102466751	9	11	11	16	4	10	6	8	8	14
107985730	0	0	0	0	1	0	0	0	0	1
100302278	0	0	0	1	1	0	0	0	0	0
645520	0	0	2	0	1	7	0	1	0	4
79501	0	0	0	0	1	2	0	1	0	0
100996442	1355	1298	310	1366	867	531	674	296	1064	888
729737	497	577	658	1989	1988	1438	257	600	778	380
102725121	155	131	44	116	77	36	112	65	111	110
102723897	326	503	120	502	325	246	390	128	430	229
102465909	9	13	6	12	4	7	7	3	10	6
107985721	0	1	0	1	2	1	0	2	0	4
112268260	100	99	33	168	60	61	51	28	45	81
729759	1	5	0	4	1	0	5	2	2	2
100132287	315	455	346	1136	705	527	136	230	413	224
105378947	13	14	3	18	6	8	4	2	3	5
101928626	0	0	1	1	0	0	0	1	1	0
113219467	449	479	358	750	330	271	357	232	1113	201
81399	56	89	38	150	76	58	61	28	57	92
100133331	192	303	241	666	425	328	101	150	236	125
107984841	172	262	95	364	269	134	119	58	200	137
107984847	224	282	133	442	444	288	258	115	269	193
107984849	150	166	30	235	204	97	105	41	198	111
100288069	808	735	158	777	399	212	320	120	650	453
105378580	514	466	90	478	281	169	485	165	398	466
400728	85	75	18	134	61	34	119	39	107	60
79854	245	123	69	228	338	139	165	90	126	94
643837	520	1219	340	912	550	507	1099	449	521	790
107984850	5	16	4	4	6	9	4	5	5	3
284593	67	59	20	120	64	16	53	15	37	71
284600	0	48	3	0	3	7	2	0	0	0
100130417	0	0	0	0	0	0	2	0	0	0
107985728	0	0	0	0	1	0	0	0	0	0
148398	25	31	9	19	22	20	34	14	27	22
26155	157	192	39	147	90	98	213	78	150	141
339451	12	63	17	35	41	13	50	12	44	34
84069	7	3	2	13	2	5	0	1	0	0
84808	2	0	1	4	2	0	0	0	0	0
57801	5	8	15	1	6	19	5	5	1	2
9636	320	559	3140	159	67	2748	278	1690	199	303
375790	21	65	80	22	20	65	70	76	33	20
100288175	2	6	3	3	1	3	10	1	10	5
112267874	0	1	1	2	1	3	7	1	7	1
105378948	6	33	4	6	9	12	22	7	23	11
401934	0	0	0	0	1	0	0	0	0	0
54991	52	130	21	83	56	37	66	38	67	65
254099	0	15	0	2	11	3	0	3	1	6
406984	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	1	1	0	1	0	0	0
254173	0	12	0	5	11	0	14	1	0	1
8784	15	8	6	18	6	9	11	4	5	7
7293	39	33	32	20	25	56	31	11	18	18
51150	300	318	178	509	262	337	367	193	247	256
126792	254	743	102	304	245	195	665	137	355	349
388581	0	0	0	1	2	1	0	0	2	4
118424	265	510	155	297	264	202	269	139	443	223
101928895	8	45	8	105	23	8	7	6	7	13
6339	8	6	3	10	1	5	15	4	11	11
116983	99	207	46	168	83	62	162	41	162	102
102465434	0	0	0	0	0	0	0	0	0	0
109623456	0	0	0	0	0	0	1	0	0	0
126789	120	164	41	148	65	57	174	31	65	54
54973	221	360	97	278	194	156	254	100	224	234
102465435	0	1	0	0	2	0	0	0	0	1
80772	104	120	40	96	51	63	43	31	42	69
83756	8	11	15	8	10	4	8	2	12	14
1855	43	103	39	104	72	40	60	22	88	41
102466740	0	0	0	0	0	0	0	0	0	0
54587	12	31	5	16	26	1	18	2	51	12
54998	638	627	472	927	537	1009	278	459	222	303
81669	1791	2094	588	1834	1439	941	2238	631	1387	1272
148413	434	460	148	529	198	230	455	128	348	289
55052	279	486	175	544	197	241	462	215	282	324
107984868	43	36	2	16	37	4	99	4	34	13
441869	0	2	0	3	20	0	3	0	0	1
105378585	0	0	0	0	0	0	0	0	0	0
643965	0	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	0	0	0	0
107985729	0	0	0	0	0	0	0	0	0	0
64856	0	0	0	0	0	0	0	0	0	0
219293	22	16	1	11	1	2	5	2	1	3
83858	100	130	22	82	72	44	144	46	85	88
55210	104	90	34	62	47	38	37	19	85	49
339453	0	0	1	1	0	0	0	0	0	0
29101	305	294	220	595	446	474	245	317	271	234
643988	27	50	11	55	22	15	16	17	40	16
105378586	17	5	1	3	2	1	1	2	12	3
142678	315	607	62	452	253	181	324	141	246	261
8510	64	33	8	18	14	9	32	6	31	16
984	357	491	148	452	191	200	317	133	346	280
728661	2494	3670	688	3799	1937	1134	3617	1082	2583	2103
8511	3	6	1	10	1	5	7	1	5	4
728642	314	357	111	388	279	251	218	101	436	281
9906	4021	2488	402	2305	1959	1105	1848	549	2220	2167
112268218	349	220	281	401	301	569	312	232	250	264
65220	5192	3771	3875	4825	3209	5709	2570	2306	2846	3499
2782	2625	2742	1422	3464	1831	1568	1852	1209	4929	2091
105378949	37	150	3	118	71	58	100	41	52	83
163688	1	12	0	0	0	0	1	1	3	0
339456	0	0	0	0	1	1	0	1	0	1
85452	0	0	0	0	1	0	0	0	0	3
107984872	0	0	0	0	1	0	0	0	0	1
105378589	0	0	0	0	1	0	0	0	0	0
2563	0	0	0	0	2	0	0	0	0	0
105378590	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	1	2	0	1	0	0
5590	299	450	31	197	172	95	242	49	121	285
100506504	57	112	10	20	52	15	1	5	35	36
199990	100	199	52	239	167	82	110	50	60	86
112268219	33	63	14	49	40	13	27	5	17	21
105378593	1	3	1	4	5	0	9	0	1	1
6497	782	979	209	2325	1481	415	438	329	1367	421
79906	39	50	10	92	16	20	39	16	14	27
100129534	13	41	0	5	35	4	5	8	22	11
11079	3735	2917	1394	3407	2244	2111	2731	1044	1913	1958
5192	134	241	81	251	172	91	274	65	173	137
9651	103	164	14	95	45	33	45	33	129	105
55229	759	732	178	770	472	307	729	233	354	546
388585	0	0	0	0	2	1	0	0	0	0
115110	227	372	104	367	272	261	229	97	186	236
8764	1604	2013	817	1477	1041	1428	869	665	1078	910
100996583	30	45	5	47	22	11	5	7	46	15
127281	382	393	33	416	263	156	251	116	223	289
79258	156	122	22	117	70	59	89	32	68	87
105378597	3	0	0	1	15	4	1	2	3	5
100287898	81	142	40	156	142	37	65	38	167	70
105378603	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	1
105378600	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	2	0	0	0	0	1
107984904	0	0	0	0	0	0	0	0	0	1
105378599	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0
440556	0	0	0	0	1	0	0	0	0	0
63976	2	0	0	2	14	0	0	0	0	5
100422968	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	1	0	0	0	0	0	0
107984909	0	0	0	4	2	0	0	0	0	0
105378605	0	0	0	2	2	0	0	0	0	0
105378604	0	0	0	0	6	0	0	0	0	0
27237	0	0	0	2	0	0	0	0	0	0
1953	566	562	63	589	450	120	541	115	271	284
105378608	0	6	1	0	0	2	0	1	0	1
693135	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	2	0	0	0	0	0
127262	1225	1108	518	2211	1604	1326	1122	589	1220	924
49856	143	134	47	152	101	83	96	58	146	116
7161	33	115	2	34	14	16	17	10	64	13
105378610	0	0	0	0	5	0	7	0	0	0
105378609	3	8	1	1	0	1	0	0	0	2
57212	354	605	156	498	288	114	523	195	412	315
148870	17	4	0	11	5	4	0	7	1	1
388588	40	128	115	26	32	22	67	45	43	300
57470	814	1081	288	860	471	465	1063	254	648	759
9731	1061	893	346	1636	879	552	1093	434	1310	694
1677	254	262	72	299	171	117	246	77	270	201
107984910	23	16	5	26	34	21	36	6	24	24
339448	190	459	190	280	149	119	254	123	433	335
100133612	0	7	10	19	29	7	1	3	9	6
728716	0	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	5	0	0	0	0	0
